"date","priority","site","current_gsc_signal","target_url","anchor_text","placement_type","publish_note","risk_control","status"
"2026-07-29","P0","xp786-news.com","0 clicks / 0 impressions","https://xp786-news.com/","XP786 latest update Pakistan","Pakistan forum profile or niche update post","Use a short dated update summary pointing to the news homepage. Mention login, register, app, and download updates without claiming rankings.","Do not use spun text, fake traffic claims, or exact-match anchors repeatedly.","pending_user_channel"
"2026-07-29","P0","xp786-news.com","0 clicks / 0 impressions","https://xp786-news.com/blog/xp786-news-july-23-login-register-update-watch","XP786 login register update","Social post or community answer","Summarize what changed and why readers should check the dated update page before using login/register paths.","Keep the post informational; avoid aggressive promotional wording.","pending_user_channel"
"2026-07-29","P0","xp786official.com","0 clicks / 0 impressions","https://xp786guide.com/","XP786 official Pakistan guide","Redirect-domain brand mention","Use this domain only as a supporting official-name mention that points users back to the main guide.","Do not build doorway pages on the redirect domain; keep canonical focus on xp786guide.com.","pending_user_channel"
"2026-07-29","P0","xp786official.com","0 clicks / 0 impressions","https://xp786guide.com/blog/xp786-official-access-guide","XP786 official access guide","Profile bio or short reference link","Place one clear reference link where users expect an official access explanation.","Do not imply Google verification or official ranking unless independently verified.","pending_user_channel"
"2026-07-29","P0","xp786pakistan.com","0 clicks / 0 impressions","https://xp786guide.com/","XP786 Pakistan login guide","Pakistan-local listing or profile link","Use the auxiliary domain as a Pakistan-market signal, but keep the user destination on the main guide.","Avoid duplicate landing pages and avoid cloaked redirects.","pending_user_channel"
"2026-07-29","P1","xp786-tips.com","0 clicks / 1 impression","https://xp786-tips.com/","XP786 H5 mobile tips","Mobile tips post or short answer","Reinforce the first impression signal with a short mobile-first reference to H5 login, register, and download checks.","Use varied anchors; do not over-optimize after the first impression.","pending_user_channel"
"2026-07-29","P1","xp786-tips.com","0 clicks / 1 impression","https://xp786-tips.com/blog/xp786-tips-july-23-h5-login-register-quick-checks","XP786 H5 login checks","Community answer or microblog post","Answer one practical mobile problem and link to the specific H5 checklist page.","Keep content concise and useful; avoid copied paragraphs from the site.","pending_user_channel"
"2026-07-29","P1","xp786-hub.com","0 clicks / 4 impressions","https://xp786-hub.com/","XP786 resource hub","Resource-list submission or curated link page","Use the hub as a neutral resource-center link that helps users compare guide, news, tips, and review pages.","Avoid low-quality directories and bulk automated submissions.","pending_user_channel"
"2026-07-29","P2","xp786-review.com","0 clicks / 1 impression","https://xp786-review.com/","XP786 review Pakistan","Review/comparison discussion","Use one comparison-style mention focused on trust checks, domain checks, app safety, and download review.","Do not claim endorsement, ranking, or verified trust without evidence.","pending_user_channel"
"2026-07-29","P2","xp786guide.com","0 clicks / 31 impressions","https://xp786guide.com/","XP786 Guide","Main brand reference","Use as the central reference link when a post discusses the whole XP786 site family.","Keep anchor distribution mixed with branded and partial-match anchors.","pending_user_channel"
